Index,Voltage
1,322.0
2,324.0
3,322.0
4,325.0
5,325.0
6,325.0
7,325.0
8,326.0
9,325.0
10,326.0
11,326.0
12,327.0
13,327.0
14,327.0
15,327.0
16,327.0
17,470.0
18,368.0
19,636.0
20,862.0
21,967.0
22,978.0
23,962.0
24,963.0
25,949.0
26,943.0
27,937.0
28,930.0
29,929.0
30,940.0
31,948.0
32,940.0
33,948.0
34,957.0
35,991.0
36,1004.0
37,1024.0
38,1024.0
39,1024.0
40,1024.0
41,1016.0
42,1015.0
43,1008.0
44,1005.0
45,1004.0
46,1006.0
47,992.0
48,1000.0
49,1002.0
50,998.0
51,1006.0
52,1018.0
53,1023.0
54,1021.0
55,1016.0
56,1022.0
57,1021.0
58,1015.0
59,1011.0
60,1008.0
61,1010.0
62,1011.0
63,1009.0
64,1011.0
65,1006.0
66,1005.0
67,1002.0
68,1003.0
69,1013.0
70,1012.0
71,1003.0
72,967.0
73,844.0
74,774.0
75,766.0
76,777.0
77,777.0
78,780.0
79,789.0
80,792.0
81,804.0
82,811.0
83,812.0
84,825.0
85,813.0
86,817.0
87,806.0
88,802.0
89,805.0
90,804.0
91,818.0
92,833.0
93,853.0
94,838.0
95,825.0
96,846.0
97,847.0
98,831.0
99,859.0
100,852.0
101,854.0
102,873.0
103,862.0
104,865.0
105,866.0
106,862.0
107,868.0
108,871.0
109,865.0
110,871.0
111,869.0
112,885.0
113,885.0
114,890.0
115,894.0
116,885.0
117,886.0
118,891.0
119,889.0
120,891.0
121,896.0
122,897.0
123,900.0
124,897.0
125,893.0
126,897.0
127,898.0
128,895.0
129,895.0
130,898.0
131,898.0
132,904.0
133,913.0
134,909.0
135,850.0
136,629.0
137,567.0
138,589.0
139,600.0
140,598.0
141,597.0
142,598.0
143,601.0
144,605.0
145,606.0
146,605.0
147,606.0
148,607.0
149,608.0
150,608.0
151,608.0
152,610.0
153,614.0
154,616.0
155,616.0
156,617.0
157,618.0
158,618.0
159,620.0
160,621.0
161,621.0
162,620.0
163,619.0
164,622.0
165,625.0
166,625.0
167,631.0
168,639.0
169,639.0
170,645.0
171,651.0
172,655.0
173,664.0
174,714.0
175,776.0
176,826.0
177,845.0
178,853.0
179,854.0
180,848.0
181,844.0
182,842.0
183,842.0
184,841.0
185,838.0
186,837.0
187,837.0
188,836.0
189,834.0
190,830.0
191,829.0
192,828.0
193,828.0
194,823.0
195,819.0
196,822.0
197,821.0
198,824.0
199,825.0
200,824.0
201,820.0
202,820.0
203,821.0
204,824.0
205,822.0
206,823.0
207,826.0
208,830.0
209,830.0
210,832.0
211,832.0
212,834.0
213,833.0
214,833.0
215,832.0
216,830.0
217,829.0
218,831.0
219,832.0
220,832.0
221,825.0
222,831.0
223,833.0
224,826.0
225,825.0
226,678.0
227,316.0
228,308.0
229,308.0
