General Index,Voltage,Sensor
1,322,fotorresistencia_data.csv
2,324,fotorresistencia_data.csv
3,322,fotorresistencia_data.csv
4,325,fotorresistencia_data.csv
5,325,fotorresistencia_data.csv
6,325,fotorresistencia_data.csv
7,325,fotorresistencia_data.csv
8,326,fotorresistencia_data.csv
9,325,fotorresistencia_data.csv
10,326,fotorresistencia_data.csv
11,326,fotorresistencia_data.csv
12,327,fotorresistencia_data.csv
13,327,fotorresistencia_data.csv
14,327,fotorresistencia_data.csv
15,327,fotorresistencia_data.csv
16,327,fotorresistencia_data.csv
17,470,fotorresistencia_data.csv
18,368,fotorresistencia_data.csv
19,636,fotorresistencia_data.csv
20,862,fotorresistencia_data.csv
21,967,fotorresistencia_data.csv
22,978,fotorresistencia_data.csv
23,962,fotorresistencia_data.csv
24,963,fotorresistencia_data.csv
25,949,fotorresistencia_data.csv
26,943,fotorresistencia_data.csv
27,937,fotorresistencia_data.csv
28,930,fotorresistencia_data.csv
29,929,fotorresistencia_data.csv
30,940,fotorresistencia_data.csv
31,948,fotorresistencia_data.csv
32,940,fotorresistencia_data.csv
33,948,fotorresistencia_data.csv
34,957,fotorresistencia_data.csv
35,991,fotorresistencia_data.csv
36,1004,fotorresistencia_data.csv
37,1024,fotorresistencia_data.csv
38,1024,fotorresistencia_data.csv
39,1024,fotorresistencia_data.csv
40,1024,fotorresistencia_data.csv
41,1016,fotorresistencia_data.csv
42,1015,fotorresistencia_data.csv
43,1008,fotorresistencia_data.csv
44,1005,fotorresistencia_data.csv
45,1004,fotorresistencia_data.csv
46,1006,fotorresistencia_data.csv
47,992,fotorresistencia_data.csv
48,1000,fotorresistencia_data.csv
49,1002,fotorresistencia_data.csv
50,998,fotorresistencia_data.csv
51,1006,fotorresistencia_data.csv
52,1018,fotorresistencia_data.csv
53,1023,fotorresistencia_data.csv
54,1021,fotorresistencia_data.csv
55,1016,fotorresistencia_data.csv
56,1022,fotorresistencia_data.csv
57,1021,fotorresistencia_data.csv
58,1015,fotorresistencia_data.csv
59,1011,fotorresistencia_data.csv
60,1008,fotorresistencia_data.csv
61,1010,fotorresistencia_data.csv
62,1011,fotorresistencia_data.csv
63,1009,fotorresistencia_data.csv
64,1011,fotorresistencia_data.csv
65,1006,fotorresistencia_data.csv
66,1005,fotorresistencia_data.csv
67,1002,fotorresistencia_data.csv
68,1003,fotorresistencia_data.csv
69,1013,fotorresistencia_data.csv
70,1012,fotorresistencia_data.csv
71,1003,fotorresistencia_data.csv
72,967,fotorresistencia_data.csv
73,844,fotorresistencia_data.csv
74,774,fotorresistencia_data.csv
75,766,fotorresistencia_data.csv
76,777,fotorresistencia_data.csv
77,777,fotorresistencia_data.csv
78,780,fotorresistencia_data.csv
79,789,fotorresistencia_data.csv
80,792,fotorresistencia_data.csv
81,804,fotorresistencia_data.csv
82,811,fotorresistencia_data.csv
83,812,fotorresistencia_data.csv
84,825,fotorresistencia_data.csv
85,813,fotorresistencia_data.csv
86,817,fotorresistencia_data.csv
87,806,fotorresistencia_data.csv
88,802,fotorresistencia_data.csv
89,805,fotorresistencia_data.csv
90,804,fotorresistencia_data.csv
91,818,fotorresistencia_data.csv
92,833,fotorresistencia_data.csv
93,853,fotorresistencia_data.csv
94,838,fotorresistencia_data.csv
95,825,fotorresistencia_data.csv
96,846,fotorresistencia_data.csv
97,847,fotorresistencia_data.csv
98,831,fotorresistencia_data.csv
99,859,fotorresistencia_data.csv
100,852,fotorresistencia_data.csv
101,854,fotorresistencia_data.csv
102,873,fotorresistencia_data.csv
103,862,fotorresistencia_data.csv
104,865,fotorresistencia_data.csv
105,866,fotorresistencia_data.csv
106,862,fotorresistencia_data.csv
107,868,fotorresistencia_data.csv
108,871,fotorresistencia_data.csv
109,865,fotorresistencia_data.csv
110,871,fotorresistencia_data.csv
111,869,fotorresistencia_data.csv
112,885,fotorresistencia_data.csv
113,885,fotorresistencia_data.csv
114,890,fotorresistencia_data.csv
115,894,fotorresistencia_data.csv
116,885,fotorresistencia_data.csv
117,886,fotorresistencia_data.csv
118,891,fotorresistencia_data.csv
119,889,fotorresistencia_data.csv
120,891,fotorresistencia_data.csv
121,896,fotorresistencia_data.csv
122,897,fotorresistencia_data.csv
123,900,fotorresistencia_data.csv
124,897,fotorresistencia_data.csv
125,893,fotorresistencia_data.csv
126,897,fotorresistencia_data.csv
127,898,fotorresistencia_data.csv
128,895,fotorresistencia_data.csv
129,895,fotorresistencia_data.csv
130,898,fotorresistencia_data.csv
131,898,fotorresistencia_data.csv
132,904,fotorresistencia_data.csv
133,913,fotorresistencia_data.csv
134,909,fotorresistencia_data.csv
135,850,fotorresistencia_data.csv
136,629,fotorresistencia_data.csv
137,567,fotorresistencia_data.csv
138,589,fotorresistencia_data.csv
139,600,fotorresistencia_data.csv
140,598,fotorresistencia_data.csv
141,597,fotorresistencia_data.csv
142,598,fotorresistencia_data.csv
143,601,fotorresistencia_data.csv
144,605,fotorresistencia_data.csv
145,606,fotorresistencia_data.csv
146,605,fotorresistencia_data.csv
147,606,fotorresistencia_data.csv
148,607,fotorresistencia_data.csv
149,608,fotorresistencia_data.csv
