Index,Voltage
1,10.95
2,10.86
3,10.86
4,10.88
5,10.88
6,10.2
7,5.24
8,1.99
9,3.3
10,3.28
11,1.99
12,2.01
13,2.01
14,2.01
15,1.99
16,2.01
17,1.99
18,2.01
19,1.99
20,1.99
21,1.99
22,1.99
23,1.99
24,2.01
25,1.99
26,1.99
27,1.99
28,1.99
29,1.99
30,2.01
31,2.01
32,1.99
33,1.99
34,2.01
35,1.99
36,1.99
37,1.99
38,1.99
39,1.99
40,1.99
41,1.99
42,1.99
43,2.01
44,1.99
45,1.99
46,1.99
47,2.01
48,1.99
49,2.01
50,3.28
51,1.99
52,1.99
53,3.62
54,5.86
55,5.88
56,5.88
57,5.86
58,5.88
59,5.88
60,5.88
61,5.88
62,5.88
63,5.88
64,5.88
65,5.88
66,3.93
67,2.63
68,2.63
69,2.65
70,2.63
71,4.91
72,20.15
73,57.41
74,20.77
75,20.77
76,19.5
77,804.07
78,804.17
79,804.2
80,804.15
81,6.53
82,8.14
83,804.12
84,7.17
85,5.56
86,4.91
87,4.91
88,4.91
89,4.91
90,4.91
91,4.91
92,4.91
93,4.91
94,4.9
95,4.9
96,4.91
97,4.91
98,4.9
99,4.9
100,4.9
101,4.91
102,4.91
103,4.91
104,4.91
105,4.9
106,4.9
107,4.91
108,4.91
109,4.9
110,4.9
111,4.91
112,4.9
113,4.91
114,4.9
115,4.9
116,4.9
117,4.91
118,4.91
119,4.9
120,4.91
121,4.9
122,4.9
123,4.91
124,4.91
125,4.91
126,4.91
127,4.91
128,4.9
129,4.9
130,4.9
131,4.9
132,4.91
133,4.91
134,4.91
135,4.9
136,4.91
137,4.91
138,4.91
139,6.2
140,804.15
141,804.08
142,25.28
143,24.41
144,804.24
145,22.97
146,804.17
147,22.37
148,25.28
149,24.41
150,16.3
151,43.5
152,15.98
153,16.0
154,16.0
155,16.0
156,16.95
157,16.0
158,16.95
159,17.92
160,16.95
161,10.86
162,9.86
163,10.2
164,10.54
165,10.88
166,9.86
167,10.86
168,10.88
169,10.86
170,10.86
171,10.86
172,11.2
173,11.24
174,11.24
175,11.2
176,11.2
177,10.2
178,11.24
179,11.2
180,11.24
181,10.18
182,15.3
183,15.3
184,15.67
185,15.98
186,15.67
187,15.66
188,15.66
189,15.98
190,15.98
191,16.95
192,14.3
193,12.92
194,13.62
195,13.62
196,16.63
197,8.47
198,9.86
199,12.92
200,15.3
201,16.95
202,15.98
203,17.59
204,19.82
205,21.42
206,39.98
207,35.82
208,34.53
209,17.92
210,16.64
211,21.1
212,17.92
213,21.42
214,21.42
215,21.42
216,21.42
217,21.42
218,21.42
219,21.42
220,21.42
221,21.42
222,21.42
223,21.42
224,21.42
225,21.42
226,21.42
227,21.42
228,14.98
229,14.62
230,15.3
231,14.3
232,14.3
233,15.98
234,14.98
235,21.42
236,21.42
237,21.42
238,21.42
239,21.42
240,21.42
241,21.42
242,21.42
243,21.42
244,21.42
245,21.42
246,21.42
247,21.42
248,21.42
249,21.42
250,21.42
251,21.42
252,21.42
253,21.42
254,21.42
255,21.42
256,21.42
257,21.42
258,21.42
259,20.47
260,21.42
261,8.48
262,7.17
263,7.17
264,7.17
265,7.17
266,7.19
267,7.17
268,7.17
269,7.17
270,7.17
271,7.17
272,7.17
273,7.17
274,7.17
275,7.17
276,7.17
277,7.17
278,7.17
279,7.17
280,7.17
281,7.82
282,8.14
283,8.14
284,8.47
285,9.16
286,36.26
287,18.53
288,19.82
289,20.13
290,20.13
291,20.15
292,20.13
293,20.15
294,20.15
295,20.15
296,20.13
297,20.15
298,20.13
299,28.19
300,34.51
301,34.53
302,34.53
303,33.74
304,35.04
305,34.53
306,33.74
307,33.74
308,35.05
309,35.05
310,35.04
311,35.05
312,35.05
313,35.04
314,35.05
315,33.74
316,33.74
317,33.74
318,35.04
319,35.04
320,22.68
321,35.82
322,35.8
323,35.04
324,36.75
325,35.04
326,35.04
327,35.04
328,35.04
329,35.05
330,35.04
331,35.04
332,35.04
333,35.04
334,35.04
335,35.04
336,35.04
337,35.04
338,35.04
339,35.05
340,35.04
341,35.0
342,35.04
343,35.04
344,35.04
345,35.05
346,35.04
347,35.05
348,35.04
349,35.04
350,35.04
351,35.04
352,34.27
353,34.24
354,35.04
355,35.05
356,35.04
357,35.04
358,35.04
359,35.04
360,35.05
361,35.05
362,35.05
363,35.05
364,35.04
365,35.04
366,35.04
367,35.05
368,35.04
369,35.04
370,35.04
371,35.05
372,35.04
373,35.04
374,35.05
375,35.04
376,35.04
377,35.04
378,35.04
379,35.04
380,35.04
381,35.04
382,35.04
383,35.04
384,35.04
385,35.04
386,35.04
387,35.04
388,35.04
389,35.05
390,35.05
391,35.05
392,35.04
393,35.05
394,35.05
395,35.04
396,35.0
397,35.04
398,34.53
399,34.51
400,16.0
401,7.82
402,8.14
403,8.14
404,6.85
405,8.14
406,8.16
407,8.16
408,8.14
409,8.14
410,8.14
411,8.16
412,8.16
413,8.14
414,8.16
415,8.14
416,8.14
417,8.14
418,8.14
419,8.14
420,8.14
421,8.14
422,8.14
423,8.14
424,8.14
425,8.16
426,8.16
427,8.16
428,8.14
429,8.16
430,8.14
431,8.14
432,8.14
433,8.14
434,8.14
435,8.14
436,8.14
437,8.14
438,8.16
439,8.14
440,8.16
441,8.16
442,8.14
443,8.16
444,8.14
445,8.14
446,8.16
447,8.14
448,8.14
449,8.14
450,8.14
451,8.14
452,8.14
453,8.14
454,9.86
455,15.98
456,20.45
457,20.47
458,20.47
459,20.47
460,20.47
461,20.45
462,20.45
463,20.45
464,20.45
465,20.45
466,20.45
467,20.47
468,20.45
469,20.45
470,20.45
471,20.45
472,20.47
473,20.45
474,20.47
475,20.47
476,20.47
477,20.47
478,20.47
479,17.92
480,14.96
481,23.83
482,36.72
483,37.2
484,24.12
485,37.2
486,24.12
487,37.2
488,37.2
489,24.12
490,9.86
491,10.88
492,24.12
493,10.2
494,37.65
495,37.65
496,18.85
497,22.68
498,23.83
499,19.5
500,8.82
501,22.05
502,37.2
503,37.21
504,16.95
505,37.21
506,37.67
507,37.2
508,37.2
509,37.65
510,37.67
511,37.65
512,32.16
513,37.65
514,13.94
515,24.72
516,37.21
517,37.2
518,37.21
519,37.21
520,11.92
521,9.86
522,37.65
523,37.65
524,37.65
525,37.88
526,16.95
527,2.33
528,16.95
529,38.11
530,44.13
531,44.13
532,40.65
533,40.66
534,30.87
535,16.64
536,1.99
537,10.2
538,39.71
539,40.66
540,40.21
541,43.33
542,16.64
543,10.54
544,26.15
545,44.93
546,44.52
547,44.52
548,15.98
549,7.5
550,44.54
551,40.66
552,43.72
553,16.0
554,15.33
555,16.97
556,16.0
557,16.0
558,51.56
559,1.67
560,5.88
561,36.72
562,30.09
563,31.11
564,22.07
565,12.26
566,4.59
567,8.48
568,38.59
569,32.18
570,56.59
571,56.29
572,10.54
573,6.2
574,9.16
575,17.92
576,29.05
577,33.98
578,31.65
579,38.59
580,38.11
581,10.2
582,6.53
583,7.5
584,16.0
585,36.53
586,34.24
587,34.53
588,38.59
589,38.11
590,16.3
591,804.3
592,56.3
593,49.84
594,13.96
595,22.68
596,38.59
597,36.04
598,37.21
599,59.99
600,19.82
601,11.9
602,5.24
603,2.63
604,7.84
605,16.97
606,39.29
607,32.69
608,35.56
609,30.87
610,22.07
611,16.95
612,6.55
613,6.85
614,37.2
615,22.97
616,31.91
617,35.56
618,29.58
619,20.77
620,16.63
621,6.2
622,4.59
623,9.52
624,16.63
625,22.37
626,27.61
627,30.63
628,30.87
629,31.91
630,31.65
631,32.69
632,34.76
633,35.82
634,35.82
635,35.82
636,33.22
637,26.45
638,15.98
639,5.56
640,3.94
641,4.59
642,13.62
643,17.59
644,22.39
645,27.03
646,30.62
647,34.53
648,35.82
649,35.82
650,36.97
651,32.95
652,27.61
653,19.21
654,15.67
655,73.47
656,21.42
657,24.43
658,23.55
659,23.55
660,37.2
661,16.0
662,21.74
663,29.05
664,32.42
665,31.65
666,31.65
667,31.65
668,31.65
669,32.45
670,32.45
671,32.45
672,32.45
673,32.45
674,32.45
675,32.42
676,32.45
677,32.42
678,32.45
679,30.62
680,21.74
681,14.98
682,37.67
683,10.2
684,42.28
685,15.67
686,20.77
687,24.41
688,27.32
689,26.45
690,26.45
691,26.45
692,26.45
693,26.45
694,26.45
695,26.45
696,26.45
697,26.43
698,26.45
699,26.45
700,26.45
701,27.32
702,27.3
703,27.32
704,27.32
705,26.45
706,26.45
707,26.47
708,26.43
709,26.45
710,26.45
711,26.45
712,26.45
713,26.45
714,25.58
715,26.45
716,26.45
717,26.45
718,25.57
719,28.48
720,34.27
721,35.56
722,35.55
723,35.05
724,30.11
725,24.41
726,21.1
727,18.24
728,19.21
729,24.41
730,30.87
731,36.5
732,38.59
733,41.6
734,44.73
735,42.72
736,42.72
737,40.21
738,40.21
739,44.54
740,58.28
741,57.7
742,56.44
743,42.74
744,42.74
745,42.72
746,42.72
747,42.72
748,40.65
749,40.66
750,41.11
751,39.27
752,38.11
753,36.04
754,20.47
755,56.3
756,2.96
757,6.53
758,7.5
759,10.54
760,19.18
761,36.75
762,37.2
763,31.13
764,19.5
765,8.82
766,2.97
767,3.94
768,3.94
769,3.94
770,3.93
771,3.94
772,3.94
773,3.93
774,3.93
775,3.93
776,3.93
777,3.93
778,3.94
779,3.94
780,3.94
781,3.94
782,3.94
783,3.94
784,3.94
785,3.94
786,3.94
787,3.94
788,3.94
789,3.93
790,3.94
791,3.94
792,3.94
793,3.94
794,3.94
795,4.91
796,3.62
797,39.73
798,16.95
799,12.58
800,5.24
801,3.93
802,5.24
803,10.2
804,7.82
805,3.94
806,4.91
807,9.52
808,16.32
809,35.31
810,36.04
811,30.62
812,30.62
813,30.09
814,30.09
815,30.11
816,30.11
817,30.36
818,30.34
819,30.36
820,30.34
821,30.34
822,30.34
823,30.34
824,30.36
825,30.34
826,30.87
827,30.87
828,30.34
829,30.34
830,30.34
831,30.87
832,34.78
833,25.87
834,24.41
835,3.93
836,2.97
837,2.97
838,2.65
839,7.17
840,16.64
841,21.74
842,23.55
843,29.82
844,32.16
845,34.0
846,34.51
847,34.0
848,34.0
849,34.0
850,34.0
851,34.0
852,34.0
853,33.47
854,33.47
855,33.49
856,33.47
857,33.47
858,33.47
859,33.49
860,33.47
861,33.47
862,33.47
863,32.71
864,33.24
865,32.95
866,32.95
867,32.95
868,32.98
869,32.98
870,32.98
871,32.95
872,32.95
873,32.95
874,32.98
875,32.98
876,32.98
877,32.95
878,32.95
879,32.95
880,32.95
881,32.98
882,32.45
883,32.42
884,31.4
885,37.21
886,37.2
887,40.21
888,16.95
889,16.63
890,16.0
891,16.0
892,16.0
893,16.0
894,16.32
895,16.32
896,16.64
897,16.64
898,16.64
899,16.64
900,16.63
901,16.64
902,16.95
903,44.34
904,34.24
905,34.53
906,34.0
907,34.27
908,33.74
909,33.74
910,33.74
911,33.74
912,33.74
913,33.74
914,33.71
915,33.74
916,33.74
917,33.74
918,34.53
919,34.53
920,34.53
921,34.27
922,32.18
923,27.03
924,52.75
925,4.59
926,2.96
927,3.6
928,12.24
929,17.92
930,24.12
931,28.48
932,31.65
933,36.06
934,35.56
935,30.87
936,37.2
937,804.41
938,2.65
939,5.24
940,14.3
941,36.75
942,38.37
943,41.12
944,47.12
945,40.21
946,40.66
947,40.21
948,40.21
949,56.87
