Index,Voltage
1,604.0
2,604.0
3,605.0
4,603.0
5,604.0
6,605.0
7,603.0
8,604.0
9,605.0
10,605.0
11,604.0
12,604.0
13,604.0
14,607.0
15,603.0
16,601.0
17,605.0
18,605.0
19,605.0
20,605.0
21,604.0
22,605.0
23,605.0
24,605.0
25,605.0
26,603.0
27,605.0
28,604.0
29,605.0
30,604.0
31,604.0
32,603.0
33,604.0
34,602.0
35,604.0
36,604.0
37,605.0
38,603.0
39,604.0
40,604.0
41,604.0
42,606.0
43,604.0
44,605.0
45,604.0
46,604.0
47,605.0
48,605.0
49,604.0
50,603.0
51,604.0
52,603.0
53,604.0
54,603.0
55,605.0
56,604.0
57,604.0
58,607.0
59,604.0
60,605.0
61,604.0
62,603.0
63,603.0
64,604.0
65,605.0
66,604.0
67,605.0
68,604.0
69,604.0
70,601.0
71,606.0
72,604.0
73,604.0
74,606.0
75,603.0
76,603.0
77,604.0
78,604.0
79,605.0
80,604.0
81,602.0
82,605.0
83,605.0
84,605.0
85,602.0
86,603.0
87,603.0
88,603.0
89,606.0
90,605.0
91,602.0
92,605.0
93,604.0
94,605.0
95,603.0
96,606.0
97,605.0
98,604.0
99,604.0
100,605.0
101,605.0
102,605.0
103,603.0
104,605.0
105,605.0
106,604.0
107,604.0
108,604.0
109,605.0
110,604.0
111,605.0
112,603.0
113,605.0
114,604.0
115,604.0
116,602.0
117,605.0
118,605.0
119,604.0
120,603.0
121,604.0
122,601.0
123,604.0
124,604.0
125,605.0
126,605.0
127,604.0
128,604.0
129,604.0
130,604.0
131,604.0
132,605.0
133,605.0
134,605.0
135,605.0
136,605.0
137,605.0
138,604.0
139,603.0
140,605.0
141,604.0
142,605.0
143,605.0
144,605.0
145,603.0
146,604.0
147,604.0
148,602.0
149,604.0
150,605.0
151,604.0
152,604.0
153,604.0
154,604.0
155,605.0
156,605.0
157,605.0
158,604.0
159,604.0
160,604.0
161,602.0
162,603.0
163,602.0
164,604.0
165,602.0
166,605.0
167,605.0
168,605.0
169,605.0
170,604.0
171,604.0
172,603.0
173,603.0
174,605.0
175,604.0
176,605.0
177,604.0
178,605.0
179,601.0
180,603.0
181,604.0
182,604.0
183,604.0
184,604.0
185,604.0
186,605.0
187,603.0
188,603.0
189,605.0
190,606.0
191,604.0
192,602.0
193,605.0
194,606.0
195,605.0
196,605.0
197,604.0
198,604.0
199,604.0
200,605.0
201,605.0
202,606.0
203,600.0
204,602.0
205,603.0
206,604.0
207,606.0
208,604.0
209,602.0
210,604.0
211,605.0
212,605.0
213,605.0
214,605.0
215,604.0
216,602.0
217,602.0
218,605.0
219,604.0
220,606.0
221,602.0
222,604.0
223,605.0
224,605.0
225,601.0
226,605.0
227,605.0
228,605.0
229,604.0
230,601.0
231,605.0
232,605.0
233,604.0
234,605.0
235,605.0
236,604.0
237,608.0
238,602.0
239,605.0
240,604.0
241,604.0
242,603.0
243,604.0
244,604.0
245,604.0
246,604.0
247,604.0
248,605.0
249,607.0
250,604.0
251,605.0
252,605.0
253,605.0
254,604.0
255,605.0
256,604.0
257,604.0
258,605.0
259,600.0
260,605.0
261,605.0
262,605.0
263,601.0
264,603.0
265,604.0
266,604.0
267,605.0
268,604.0
269,602.0
270,605.0
271,605.0
272,605.0
273,605.0
274,605.0
275,604.0
276,605.0
277,603.0
278,604.0
279,601.0
280,603.0
281,601.0
282,605.0
283,604.0
284,604.0
285,604.0
286,605.0
287,604.0
288,603.0
289,604.0
290,605.0
291,604.0
292,603.0
293,606.0
294,604.0
295,605.0
296,603.0
297,604.0
298,604.0
299,607.0
300,602.0
301,605.0
302,605.0
303,606.0
304,604.0
305,604.0
306,605.0
307,605.0
308,604.0
309,604.0
310,604.0
311,605.0
312,604.0
313,604.0
314,605.0
315,605.0
316,605.0
317,604.0
318,605.0
319,603.0
320,603.0
321,605.0
322,603.0
323,605.0
324,603.0
325,604.0
326,604.0
327,604.0
328,605.0
329,603.0
330,605.0
331,605.0
332,605.0
333,604.0
334,604.0
335,605.0
336,604.0
337,606.0
338,604.0
339,604.0
340,604.0
341,604.0
342,604.0
343,605.0
344,605.0
345,604.0
346,604.0
347,604.0
348,605.0
349,603.0
350,605.0
351,604.0
352,606.0
353,601.0
354,604.0
355,602.0
356,605.0
357,605.0
358,605.0
