Index,Voltage
1,353.0
2,353.0
3,353.0
4,353.0
5,354.0
6,354.0
7,355.0
8,357.0
9,360.0
10,363.0
11,366.0
12,369.0
13,388.0
14,469.0
15,622.0
16,776.0
17,833.0
18,850.0
19,858.0
20,858.0
21,855.0
22,850.0
23,852.0
24,850.0
25,846.0
26,840.0
27,832.0
28,823.0
29,813.0
30,805.0
31,795.0
32,786.0
33,776.0
34,766.0
35,758.0
36,748.0
37,739.0
38,730.0
39,723.0
40,714.0
41,705.0
42,693.0
43,686.0
44,679.0
45,672.0
46,665.0
47,657.0
48,652.0
49,645.0
50,639.0
51,632.0
52,626.0
53,618.0
54,609.0
55,604.0
56,598.0
57,591.0
58,585.0
59,579.0
60,573.0
61,568.0
62,562.0
63,558.0
64,554.0
65,550.0
66,546.0
67,544.0
68,542.0
69,543.0
70,543.0
71,542.0
72,541.0
73,540.0
74,537.0
75,538.0
76,537.0
77,540.0
78,545.0
79,571.0
80,621.0
81,675.0
82,718.0
83,741.0
84,763.0
85,784.0
86,805.0
87,816.0
88,820.0
89,819.0
90,819.0
91,822.0
92,818.0
93,808.0
94,798.0
95,787.0
96,777.0
97,768.0
98,758.0
99,748.0
100,738.0
101,728.0
102,720.0
103,711.0
104,702.0
105,691.0
106,680.0
107,673.0
108,664.0
109,657.0
110,650.0
111,641.0
112,633.0
113,626.0
114,618.0
115,613.0
116,606.0
117,600.0
118,594.0
119,588.0
120,581.0
121,576.0
122,571.0
123,565.0
124,560.0
125,555.0
126,552.0
127,546.0
128,542.0
129,537.0
130,534.0
131,529.0
132,524.0
133,520.0
134,516.0
135,513.0
136,509.0
137,506.0
138,502.0
139,498.0
140,494.0
141,490.0
142,487.0
143,485.0
144,483.0
145,480.0
146,476.0
147,474.0
148,472.0
149,470.0
150,468.0
151,465.0
152,463.0
153,460.0
154,459.0
155,457.0
156,454.0
157,451.0
158,449.0
159,447.0
160,446.0
161,444.0
162,441.0
163,440.0
164,438.0
165,436.0
166,435.0
167,433.0
168,430.0
169,429.0
170,428.0
171,427.0
172,426.0
173,423.0
174,422.0
175,417.0
176,415.0
177,414.0
178,412.0
179,411.0
180,409.0
181,408.0
182,406.0
183,405.0
184,404.0
185,403.0
186,403.0
187,403.0
188,405.0
189,405.0
190,408.0
191,411.0
192,421.0
193,439.0
194,458.0
195,471.0
196,481.0
197,497.0
198,560.0
199,645.0
200,709.0
201,737.0
202,745.0
203,748.0
204,753.0
205,754.0
206,751.0
207,747.0
208,739.0
209,734.0
210,726.0
211,720.0
212,713.0
213,706.0
214,700.0
215,692.0
216,686.0
217,680.0
218,672.0
219,670.0
220,666.0
221,668.0
222,672.0
223,667.0
224,662.0
225,656.0
226,650.0
227,643.0
228,638.0
229,636.0
230,636.0
231,634.0
232,634.0
233,631.0
234,626.0
235,619.0
236,615.0
237,609.0
238,604.0
239,600.0
240,600.0
241,614.0
242,633.0
243,644.0
244,654.0
245,662.0
246,664.0
247,669.0
248,673.0
249,670.0
250,665.0
251,657.0
252,652.0
253,644.0
254,636.0
255,628.0
256,621.0
257,615.0
258,607.0
259,590.0
260,577.0
261,13.0
262,13.0
263,554.0
264,549.0
265,542.0
266,540.0
267,533.0
268,530.0
269,525.0
270,520.0
271,516.0
272,512.0
273,508.0
274,506.0
275,502.0
276,499.0
277,497.0
278,494.0
279,492.0
280,488.0
281,486.0
282,483.0
283,480.0
284,478.0
285,475.0
286,473.0
287,470.0
288,469.0
289,465.0
290,463.0
291,460.0
292,458.0
293,456.0
294,454.0
295,452.0
296,449.0
297,448.0
298,446.0
299,445.0
300,442.0
301,440.0
302,440.0
303,438.0
304,436.0
305,436.0
306,434.0
307,433.0
308,432.0
309,430.0
310,429.0
311,428.0
312,427.0
313,426.0
314,424.0
315,423.0
316,422.0
317,421.0
318,416.0
319,415.0
320,415.0
321,414.0
322,414.0
323,413.0
324,413.0
325,412.0
326,411.0
327,411.0
328,410.0
329,408.0
330,408.0
331,406.0
332,406.0
333,405.0
334,404.0
335,403.0
336,402.0
337,401.0
338,400.0
339,399.0
340,398.0
341,397.0
342,396.0
343,396.0
344,394.0
345,394.0
346,393.0
347,393.0
348,392.0
349,392.0
350,390.0
351,389.0
352,388.0
353,388.0
354,387.0
355,387.0
356,386.0
357,386.0
358,385.0
359,385.0
360,386.0
361,392.0
362,398.0
363,402.0
364,404.0
365,406.0
366,410.0
367,411.0
368,412.0
369,414.0
370,414.0
371,415.0
372,416.0
373,417.0
374,420.0
375,418.0
376,417.0
377,421.0
378,420.0
379,416.0
380,414.0
381,413.0
382,412.0
383,410.0
384,408.0
385,405.0
386,404.0
387,402.0
388,401.0
389,400.0
390,398.0
391,398.0
392,397.0
393,398.0
394,401.0
395,410.0
396,413.0
397,414.0
398,416.0
399,416.0
400,421.0
401,421.0
402,423.0
403,428.0
404,480.0
405,645.0
406,794.0
407,883.0
408,931.0
409,950.0
410,969.0
411,989.0
412,1006.0
413,1018.0
414,1024.0
415,1024.0
416,1024.0
417,1024.0
418,1024.0
419,1024.0
420,1024.0
421,1023.0
422,1018.0
423,1015.0
424,1010.0
425,1005.0
426,999.0
427,993.0
428,986.0
429,978.0
430,968.0
431,961.0
432,953.0
433,945.0
434,939.0
435,931.0
436,924.0
437,916.0
438,907.0
439,900.0
440,892.0
441,884.0
442,876.0
443,866.0
444,856.0
445,846.0
446,836.0
447,826.0
448,818.0
449,808.0
450,800.0
451,790.0
452,782.0
453,773.0
454,764.0
455,757.0
456,748.0
457,741.0
